instance,lb,ub
g0113.col,14,14
g0114.col,14,14
g0115.col,25,25
g0116.col,17,17
g0117.col,23,23
g0118.col,14,14
g0119.col,13,13
g0120.col,12,12
g0121.col,23,23
g0122.col,22,22
g0123.col,23,23
g0124.col,23,23
g0125.col,22,22
g0126.col,23,23
g0127.col,18,18
g0128.col,19,19
g0129.col,18,18
g0130.col,18,18
g0131.col,17,17
g0132.col,21,21
g0133.col,7,7
g0134.col,10,11
g0135.col,12,12
g0136.col,6,6
g0137.col,22,22
g0138.col,16,16
g0139.col,28,28
g0140.col,8,8
g0141.col,30,30
g0142.col,7,7
g0143.col,26,26
g0144.col,0,0
g0145.col,35,35
g0146.col,26,26
g0147.col,22,22
g0148.col,23,23
g0149.col,19,19
g0150.col,8,8
g0151.col,7,7
g0152.col,8,8
g0153.col,8,8
g0154.col,7,7
g0155.col,8,8
g0156.col,8,8
g0157.col,8,8
g0158.col,7,7
g0159.col,7,7
g0160.col,7,7
g0161.col,7,7
g0162.col,7,7
g0163.col,7,7
g0164.col,7,7
g0165.col,7,7
g0166.col,7,7
g0167.col,8,8
g0168.col,10,10
g0169.col,6,7
g0170.col,15,15
g0171.col,8,8
g0172.col,9,9
g0173.col,8,8
g0174.col,10,10
g0175.col,8,8
g0176.col,7,7
g0177.col,7,7
g0178.col,8,8
g0179.col,8,8
g0180.col,7,7
g0181.col,7,7
g0182.col,23,23
g0183.col,38,38
g0184.col,7,7
g0185.col,7,7
g0186.col,7,7
g0187.col,7,7
g0188.col,8,8
g0189.col,7,7
g0190.col,7,7
g0191.col,7,7
g0192.col,8,8
g0193.col,6,6
g0194.col,7,7
g0195.col,8,8
g0196.col,8,8
g0197.col,8,8
g0198.col,7,7
g0199.col,6,6
g0200.col,7,7
g0201.col,7,7
g0202.col,7,7
g0203.col,6,6
g0204.col,5,5
g0205.col,5,5
g0206.col,5,5
g0207.col,5,5
g0208.col,5,5
g0209.col,5,5
g0210.col,6,6
g0211.col,5,5
g0212.col,8,8
g0213.col,12,12
g0214.col,7,7
g0215.col,10,10
g0216.col,6,6
g0217.col,7,7
g0218.col,8,8
g0219.col,8,8
g0220.col,7,7
g0221.col,8,8
g0222.col,7,7
g0223.col,5,5
g0224.col,7,7
g0225.col,7,7
g0226.col,7,7
g0227.col,7,7
g0228.col,6,6
g0229.col,7,7
g0230.col,7,7
g0231.col,7,7
g0232.col,7,7
g0233.col,7,7
g0234.col,8,8
g0235.col,7,7
g0236.col,7,7
g0237.col,6,6
g0238.col,6,6
g0239.col,6,6
g0240.col,6,6
g0241.col,6,6
g0242.col,6,6
g0243.col,11,11
g0244.col,6,6
g0245.col,9,9
g0246.col,6,6
g0247.col,6,6
g0248.col,6,6
g0249.col,3,3
g0250.col,6,6
g0251.col,6,6
g0252.col,6,6
g0253.col,4,4
g0254.col,4,4
g0255.col,6,6
g0256.col,8,8
g0257.col,6,6
g0258.col,5,5
g0259.col,10,10
g0260.col,5,5
g0261.col,8,8
g0262.col,10,10
g0263.col,5,5
g0264.col,6,6
g0265.col,5,5
g0266.col,6,6
g0267.col,6,6
g0268.col,6,6
g0269.col,5,5
g0270.col,6,6
g0271.col,6,6
g0272.col,5,5
g0273.col,5,5
g0274.col,4,4
g0275.col,6,6
g0276.col,5,5
g0277.col,6,6
g0278.col,6,6
g0279.col,6,6
g0280.col,5,5
g0281.col,5,5
g0282.col,5,5
g0283.col,5,5
g0284.col,5,5
g0285.col,5,5
g0286.col,5,5
g0287.col,5,5
g0288.col,5,5
g0289.col,5,5
g0290.col,5,5
g0291.col,5,5
g0292.col,5,5
g0293.col,5,5
g0294.col,6,6
g0295.col,6,6
g0296.col,7,7
g0297.col,8,8
g0298.col,7,7
g0299.col,6,6
g0300.col,6,6
g0301.col,5,5
g0302.col,6,6
g0303.col,7,7
g0304.col,5,5
g0305.col,5,5
g0306.col,5,5
g0307.col,5,5
g0308.col,5,5
g0309.col,5,5
g0310.col,6,6
g0311.col,5,5
g0312.col,5,5
g0313.col,5,5
g0314.col,5,5
g0315.col,5,5
g0316.col,5,5
g0317.col,5,5
g0318.col,5,5
g0319.col,6,6
g0320.col,5,5
g0321.col,5,5
g0322.col,5,5
g0323.col,8,8
g0324.col,8,8
g0325.col,7,7
g0326.col,9,10
g0327.col,7,7
g0328.col,5,5
g0329.col,5,5
g0330.col,4,4
g0331.col,5,5
g0332.col,6,6
g0333.col,6,6
g0334.col,5,5
g0335.col,6,6
g0336.col,5,5
g0337.col,5,5
g0338.col,5,5
g0339.col,5,5
g0340.col,4,4
g0341.col,5,5
g0342.col,29,29
g0343.col,16,16
g0344.col,8,8
g0345.col,8,8
g0346.col,6,6
g0347.col,6,6
g0348.col,7,7
g0349.col,5,5
g0350.col,6,6
g0351.col,5,5
g0352.col,4,4
g0353.col,7,7
g0354.col,5,5
g0355.col,8,8
g0356.col,8,8
g0357.col,8,8
g0358.col,7,7
g0359.col,7,7
g0360.col,7,7
g0361.col,7,7
g0362.col,7,7
g0363.col,6,6
g0364.col,7,7
g0365.col,7,7
g0366.col,7,7
g0367.col,8,8
g0368.col,8,8
g0369.col,7,7
g0370.col,7,7
g0371.col,7,7
g0372.col,7,7
g0373.col,7,7
g0374.col,7,7
g0375.col,8,8
g0376.col,8,8
g0377.col,6,6
g0378.col,6,6
g0379.col,6,6
g0380.col,6,6
g0381.col,6,6
g0382.col,6,6
g0383.col,6,6
g0384.col,6,6
g0385.col,6,6
g0386.col,6,6
g0387.col,6,6
g0388.col,25,25
g0389.col,25,25
g0390.col,8,8
g0391.col,6,6
g0392.col,7,7
g0393.col,5,5
g0394.col,5,5
g0395.col,5,5
g0396.col,5,5
g0397.col,5,5
g0398.col,5,5
g0399.col,5,5
g0400.col,5,5
g0401.col,5,5
g0402.col,5,5
g0403.col,5,5
g0404.col,5,5
g0405.col,5,5
g0406.col,5,5
g0407.col,7,7
g0408.col,6,6
g0409.col,8,8
g0410.col,6,6
g0411.col,7,7
g0412.col,8,8
g0413.col,7,7
g0414.col,5,5
g0415.col,5,5
g0416.col,21,21
g0417.col,8,8
g0418.col,26,26
g0419.col,8,8
g0420.col,7,7
g0421.col,6,6
g0422.col,8,8
g0423.col,8,8
g0424.col,8,8
g0425.col,6,6
g0426.col,6,6
g0427.col,7,7
g0428.col,6,6
g0429.col,7,7
g0430.col,9,9
g0431.col,6,6
g0432.col,5,5
g0433.col,5,5
g0434.col,6,6
g0435.col,6,6
g0436.col,5,5
g0437.col,6,6
g0438.col,6,6
g0439.col,6,6
g0440.col,5,5
g0441.col,6,6
g0442.col,8,8
g0443.col,7,7
g0444.col,6,6
g0445.col,7,7
g0446.col,6,6
g0447.col,6,6
g0448.col,7,7
g0449.col,7,7
g0450.col,7,7
g0451.col,6,6
g0452.col,5,5
g0453.col,6,6
g0454.col,6,6
g0455.col,7,7
g0456.col,6,6
g0457.col,5,5
g0458.col,5,5
g0459.col,16,16
g0460.col,6,6
g0461.col,6,6
g0462.col,6,6
g0463.col,6,6
g0464.col,5,5
g0465.col,6,6
g0466.col,6,6
g0467.col,7,7
g0468.col,6,6
g0469.col,6,6
g0470.col,5,5
g0471.col,5,5
g0472.col,13,13
g0473.col,23,23
g0474.col,9,11
g0475.col,6,6
g0476.col,6,6
g0477.col,8,8
g0478.col,6,6
g0479.col,6,6
g0480.col,7,7
g0481.col,7,7
g0482.col,5,5
g0483.col,5,5
g0484.col,6,6
g0485.col,6,6
g0486.col,21,21
g0487.col,12,13
g0488.col,8,8
g0489.col,6,6
g0490.col,6,6
g0491.col,5,5
g0492.col,4,4
g0493.col,6,6
g0494.col,22,23
g0495.col,7,7
g0496.col,7,7
g0497.col,7,7
g0498.col,7,7
g0499.col,7,7
g0500.col,60,60
g0501.col,47,47
g0502.col,54,54
g0503.col,7,7
g0504.col,46,46
g0505.col,42,42
g0506.col,38,38
g0507.col,9,9
g0508.col,9,9
g0509.col,9,9
g0510.col,9,9
g0511.col,9,9
g0512.col,8,8
g0513.col,12,12
g0514.col,10,10
g0515.col,11,11
g0516.col,10,10
g0517.col,9,9
g0518.col,9,9
g0519.col,9,9
g0520.col,8,8
g0521.col,9,9
g0522.col,9,9
g0523.col,9,9
g0524.col,9,9
g0525.col,9,9
g0526.col,30,30
g0527.col,21,21
g0528.col,18,18
g0529.col,46,46
g0530.col,19,19
g0531.col,10,10
g0532.col,12,12
g0533.col,37,37
g0534.col,11,11
g0535.col,39,39
g0536.col,10,10
g0537.col,8,8
g0538.col,10,10
g0539.col,9,9
g0540.col,10,10
g0541.col,9,9
g0542.col,8,8
g0543.col,9,9
g0544.col,10,10
g0545.col,7,7
g0546.col,10,10
g0547.col,8,8
g0548.col,7,7
g0549.col,8,8
g0550.col,8,8
g0551.col,8,8
g0552.col,6,6
g0553.col,8,8
g0554.col,9,9
g0555.col,8,8
g0556.col,10,11
g0557.col,16,17
g0558.col,25,25
g0559.col,5,5
g0560.col,24,24
g0561.col,7,7
g0562.col,9,9
g0563.col,27,27
g0564.col,43,43
g0565.col,30,30
g0566.col,8,8
g0567.col,48,48
g0568.col,9,9
g0569.col,9,9
g0570.col,10,10
g0571.col,10,10
g0572.col,8,8
g0573.col,10,10
g0574.col,10,10
g0575.col,9,9
g0576.col,10,10
g0577.col,9,9
g0578.col,10,10
g0579.col,8,8
g0580.col,9,9
g0581.col,10,10
g0582.col,8,8
g0583.col,8,8
g0584.col,9,9
g0585.col,8,8
g0586.col,8,8
g0587.col,8,8
g0588.col,9,9
g0589.col,8,8
g0590.col,8,8
g0591.col,8,8
g0592.col,7,7
g0593.col,8,8
g0594.col,7,7
g0595.col,7,7
g0596.col,7,7
g0597.col,13,14
g0598.col,14,14
g0599.col,8,8
g0600.col,24,24
g0601.col,7,7
g0602.col,8,8
g0603.col,8,8
g0604.col,11,11
g0605.col,7,7
g0606.col,7,7
g0607.col,6,6
g0608.col,7,7
g0609.col,6,6
g0610.col,6,6
g0611.col,6,6
g0612.col,6,6
g0613.col,7,7
g0614.col,6,6
g0615.col,6,6
g0616.col,18,18
g0617.col,8,8
g0618.col,30,30
g0619.col,14,14
g0620.col,13,13
g0621.col,14,14
g0622.col,14,14
g0623.col,14,14
g0624.col,13,13
g0625.col,14,14
g0626.col,14,14
g0627.col,14,14
g0628.col,14,14
g0629.col,14,14
g0630.col,14,14
g0631.col,13,13
g0632.col,15,15
g0633.col,15,15
g0634.col,14,14
g0635.col,14,14
g0636.col,13,13
g0637.col,15,15
g0638.col,14,14
g0639.col,13,13
g0640.col,13,13
g0641.col,13,13
g0642.col,13,13
g0643.col,14,14
g0644.col,13,13
g0645.col,13,13
g0646.col,13,13
g0647.col,14,14
g0648.col,15,15
g0649.col,13,13
g0650.col,13,13
g0651.col,13,13
g0652.col,13,13
g0653.col,14,14
g0654.col,13,13
g0655.col,13,13
g0656.col,13,13
g0657.col,14,14
g0658.col,14,14
g0659.col,13,13
g0660.col,13,13
g0661.col,14,15
g0662.col,14,15
g0663.col,14,14
g0664.col,14,14
g0665.col,14,14
g0666.col,15,15
g0667.col,14,14
g0668.col,14,14
g0669.col,11,11
g0670.col,10,10
g0671.col,11,11
g0672.col,11,11
g0673.col,11,11
g0674.col,11,11
g0675.col,11,11
g0676.col,10,10
g0677.col,11,11
g0678.col,11,11
g0679.col,11,11
g0680.col,11,11
g0681.col,11,11
g0682.col,12,12
g0683.col,11,11
g0684.col,11,11
g0685.col,10,10
g0686.col,11,11
g0687.col,11,11
g0688.col,10,10
g0689.col,10,10
g0690.col,11,11
g0691.col,11,11
g0692.col,11,11
g0693.col,12,12
g0694.col,11,11
g0695.col,11,11
g0696.col,11,11
g0697.col,11,11
g0698.col,10,10
g0699.col,11,11
g0700.col,10,10
g0701.col,11,11
g0702.col,11,11
g0703.col,11,11
g0704.col,12,12
g0705.col,10,10
g0706.col,11,11
g0707.col,13,13
g0708.col,11,11
g0709.col,11,11
g0710.col,10,10
g0711.col,11,11
g0712.col,12,12
g0713.col,11,11
g0714.col,11,11
g0715.col,11,11
g0716.col,10,10
g0717.col,11,11
g0718.col,11,11
g0719.col,11,11
g0720.col,10,10
g0721.col,10,10
g0722.col,10,10
g0723.col,11,11
g0724.col,11,11
g0725.col,10,10
g0726.col,11,11
g0727.col,11,11
g0728.col,10,10
g0729.col,11,11
g0730.col,11,11
g0731.col,10,10
g0732.col,10,10
g0733.col,11,11
g0734.col,10,10
g0735.col,11,11
g0736.col,10,10
g0737.col,11,11
g0738.col,11,11
g0739.col,11,11
g0740.col,10,10
g0741.col,11,11
g0742.col,11,11
g0743.col,11,11
g0744.col,10,10
g0745.col,12,12
g0746.col,11,11
g0747.col,10,10
g0748.col,11,11
g0749.col,10,10
g0750.col,11,11
g0751.col,11,11
g0752.col,10,10
g0753.col,10,10
g0754.col,10,10
g0755.col,11,11
g0756.col,10,10
g0757.col,10,10
g0758.col,11,11
g0759.col,10,10
g0760.col,10,10
g0761.col,10,10
g0762.col,11,11
g0763.col,10,10
g0764.col,11,11
g0765.col,11,11
g0766.col,11,11
g0767.col,12,12
g0768.col,11,11
g0769.col,11,11
g0770.col,10,10
g0771.col,11,11
g0772.col,10,10
g0773.col,10,10
g0774.col,10,10
g0775.col,11,11
g0776.col,10,10
g0777.col,11,11
g0778.col,10,10
g0779.col,11,11
g0780.col,11,11
g0781.col,11,11
g0782.col,10,10
g0783.col,11,11
g0784.col,10,10
g0785.col,10,10
g0786.col,10,10
g0787.col,10,10
g0788.col,11,11
g0789.col,11,11
g0790.col,10,10
g0791.col,11,11
g0792.col,10,10
g0793.col,10,10
g0794.col,10,10
g0795.col,10,10
g0796.col,10,10
g0797.col,10,10
g0798.col,11,11
g0799.col,11,11
g0800.col,10,10
g0801.col,11,11
g0802.col,10,10
g0803.col,10,10
g0804.col,10,10
g0805.col,11,11
g0806.col,10,10
g0807.col,10,10
g0808.col,10,10
g0809.col,10,10
g0810.col,10,10
g0811.col,11,11
g0812.col,10,10
g0813.col,11,11
g0814.col,10,10
g0815.col,11,11
g0816.col,10,10
g0817.col,11,11
g0818.col,10,10
g0819.col,11,11
g0820.col,61,61
g0821.col,61,61
g0822.col,61,61
g0823.col,61,61
g0824.col,61,61
g0825.col,61,61
g0826.col,61,61
g0827.col,62,62
g0828.col,62,62
g0829.col,61,61
g0830.col,61,61
g0831.col,62,62
g0832.col,62,62
g0833.col,61,61
g0834.col,62,62
g0835.col,61,61
g0836.col,61,61
g0837.col,62,62
g0838.col,61,61
g0839.col,62,62
g0840.col,61,61
g0841.col,61,61
g0842.col,61,61
g0843.col,61,61
g0844.col,63,63
g0845.col,62,62
g0846.col,61,61
g0847.col,62,62
g0848.col,63,63
g0849.col,61,61
g0850.col,63,63
g0851.col,61,61
g0852.col,61,61
g0853.col,61,61
g0854.col,61,61
g0855.col,61,61
g0856.col,61,61
g0857.col,61,61
g0858.col,61,61
g0859.col,62,62
g0860.col,62,62
g0861.col,62,62
g0862.col,62,62
g0863.col,62,62
g0864.col,61,61
g0865.col,61,61
g0866.col,61,61
g0867.col,61,61
g0868.col,60,60
g0869.col,7,7
g0870.col,7,7
g0871.col,7,7
g0872.col,7,8
g0873.col,7,7
g0874.col,7,7
g0875.col,7,7
g0876.col,7,8
g0877.col,7,7
g0878.col,7,7
g0879.col,7,7
g0880.col,7,7
g0881.col,7,7
g0882.col,8,8
g0883.col,7,7
g0884.col,7,8
g0885.col,7,7
g0886.col,7,7
g0887.col,7,7
g0888.col,7,7
g0889.col,7,7
g0890.col,7,7
g0891.col,7,7
g0892.col,7,8
g0893.col,7,7
g0894.col,7,7
g0895.col,7,7
g0896.col,7,7
g0897.col,7,7
g0898.col,7,8
g0899.col,7,7
g0900.col,7,7
g0901.col,7,7
g0902.col,7,7
g0903.col,7,7
g0904.col,7,7
g0905.col,7,7
g0906.col,7,7
g0907.col,7,8
g0908.col,7,7
g0909.col,7,7
g0910.col,7,7
g0911.col,7,7
g0912.col,7,7
g0913.col,7,7
g0914.col,7,7
g0915.col,7,7
g0916.col,7,7
g0917.col,7,7
g0918.col,7,7
g0919.col,7,7
g0920.col,8,8
g0921.col,7,7
g0922.col,7,7
g0923.col,6,6
g0924.col,7,7
g0925.col,7,7
g0926.col,7,7
g0927.col,7,7
g0928.col,7,7
g0929.col,7,7
g0930.col,7,7
g0931.col,7,7
g0932.col,7,7
g0933.col,6,6
g0934.col,7,7
g0935.col,6,6
g0936.col,7,7
g0937.col,7,7
g0938.col,8,8
g0939.col,7,7
g0940.col,7,7
g0941.col,7,7
g0942.col,7,7
g0943.col,7,7
g0944.col,7,7
g0945.col,7,7
g0946.col,7,7
g0947.col,7,7
g0948.col,7,7
g0949.col,7,7
g0950.col,7,7
g0951.col,8,8
g0952.col,8,8
g0953.col,7,7
g0954.col,7,7
g0955.col,7,7
g0956.col,6,6
g0957.col,7,7
g0958.col,7,7
g0959.col,7,7
g0960.col,8,8
g0961.col,7,7
g0962.col,7,7
g0963.col,7,7
g0964.col,7,7
g0965.col,7,7
g0966.col,7,7
g0967.col,7,7
g0968.col,7,7
g0969.col,7,7
g0970.col,7,7
g0971.col,8,8
g0972.col,6,6
g0973.col,6,6
g0974.col,7,7
g0975.col,6,6
g0976.col,7,7
g0977.col,7,7
g0978.col,7,7
g0979.col,7,7
g0980.col,7,7
g0981.col,7,7
g0982.col,7,7
g0983.col,7,7
g0984.col,6,6
g0985.col,7,7
g0986.col,7,7
g0987.col,6,6
g0988.col,7,7
g0989.col,7,7
g0990.col,7,7
g0991.col,6,6
g0992.col,7,7
g0993.col,7,7
g0994.col,7,7
g0995.col,7,7
g0996.col,7,7
g0997.col,7,7
g0998.col,6,6
g0999.col,7,7
g1000.col,7,7
g1001.col,7,7
g1002.col,7,7
g1003.col,7,7
g1004.col,6,6
g1005.col,7,7
g1006.col,7,7
g1007.col,7,7
g1008.col,7,7
g1009.col,7,7
g1010.col,7,7
g1011.col,6,6
g1012.col,7,7
g1013.col,6,6
g1014.col,7,7
g1015.col,6,6
g1016.col,7,7
g1017.col,6,6
g1018.col,7,7
g1019.col,6,6
g1020.col,6,6
g1021.col,6,6
g1022.col,6,6
g1023.col,6,6
g1024.col,6,6
g1025.col,6,6
g1026.col,6,6
g1027.col,6,6
g1028.col,6,6
g1029.col,6,6
g1030.col,6,6
g1031.col,6,6
g1032.col,6,6
g1033.col,6,6
g1034.col,6,6
g1035.col,6,6
g1036.col,6,6
g1037.col,6,6
g1038.col,6,6
g1039.col,6,6
g1040.col,6,6
g1041.col,6,6
g1042.col,6,6
g1043.col,6,6
g1044.col,6,6
g1045.col,6,6
g1046.col,6,6
g1047.col,6,6
g1048.col,6,6
g1049.col,6,6
g1050.col,6,6
g1051.col,6,6
g1052.col,6,6
g1053.col,6,6
g1054.col,6,6
g1055.col,6,6
g1056.col,6,6
g1057.col,6,6
g1058.col,6,6
g1059.col,6,6
g1060.col,6,6
g1061.col,7,7
g1062.col,6,6
g1063.col,6,6
g1064.col,6,6
g1065.col,6,6
g1066.col,6,6
g1067.col,6,6
g1068.col,6,6
g1069.col,7,7
g1070.col,7,7
g1071.col,7,7
g1072.col,7,7
g1073.col,7,7
g1074.col,6,6
g1075.col,7,7
g1076.col,7,7
g1077.col,6,6
g1078.col,7,7
g1079.col,7,7
g1080.col,7,7
g1081.col,6,6
g1082.col,7,7
g1083.col,6,6
g1084.col,7,7
g1085.col,6,6
g1086.col,6,6
g1087.col,7,7
g1088.col,7,7
g1089.col,7,7
g1090.col,7,7
g1091.col,7,7
g1092.col,6,6
g1093.col,7,7
g1094.col,6,6
g1095.col,7,7
g1096.col,6,6
g1097.col,7,7
g1098.col,7,7
g1099.col,7,7
g1100.col,7,7
g1101.col,7,7
g1102.col,7,7
g1103.col,7,7
g1104.col,7,7
g1105.col,7,7
g1106.col,6,6
g1107.col,7,7
g1108.col,7,7
g1109.col,6,6
g1110.col,7,7
g1111.col,7,7
g1112.col,7,7
g1113.col,7,7
g1114.col,7,7
g1115.col,7,7
g1116.col,7,7
g1117.col,7,7
g1118.col,7,7
g1119.col,7,7
g1120.col,7,7
g1121.col,6,6
g1122.col,7,7
g1123.col,7,7
g1124.col,7,7
g1125.col,7,7
g1126.col,7,7
g1127.col,8,8
g1128.col,7,7
g1129.col,7,7
g1130.col,7,7
g1131.col,7,7
g1132.col,7,7
g1133.col,7,7
g1134.col,7,7
g1135.col,8,8
g1136.col,7,7
g1137.col,7,7
g1138.col,7,7
g1139.col,8,8
g1140.col,7,7
g1141.col,7,7
g1142.col,7,7
g1143.col,7,7
g1144.col,7,7
g1145.col,7,7
g1146.col,7,7
g1147.col,7,7
g1148.col,7,7
g1149.col,7,8
g1150.col,7,7
g1151.col,7,7
g1152.col,7,7
g1153.col,7,7
g1154.col,7,7
g1155.col,7,7
g1156.col,7,7
g1157.col,6,6
g1158.col,7,7
g1159.col,7,7
g1160.col,7,7
g1161.col,7,7
g1162.col,7,7
g1163.col,7,7
g1164.col,8,8
g1165.col,7,7
g1166.col,7,7
g1167.col,7,7
g1168.col,7,7
g1169.col,7,7
g1170.col,8,8
g1171.col,7,7
g1172.col,7,7
g1173.col,8,8
g1174.col,8,8
g1175.col,7,7
g1176.col,7,7
g1177.col,7,7
g1178.col,7,7
g1179.col,7,7
g1180.col,7,7
g1181.col,7,7
g1182.col,8,8
g1183.col,7,7
g1184.col,7,7
g1185.col,8,8
g1186.col,8,8
g1187.col,8,8
g1188.col,8,8
g1189.col,7,7
g1190.col,8,8
g1191.col,7,7
g1192.col,8,8
g1193.col,7,7
g1194.col,8,8
g1195.col,8,8
g1196.col,7,7
g1197.col,7,7
g1198.col,7,7
g1199.col,8,8
g1200.col,7,7
g1201.col,7,7
g1202.col,7,7
g1203.col,7,7
g1204.col,7,7
g1205.col,7,7
g1206.col,7,7
g1207.col,8,8
g1208.col,8,8
g1209.col,7,7
g1210.col,7,7
g1211.col,7,7
g1212.col,8,8
g1213.col,7,7
g1214.col,7,7
g1215.col,7,7
g1216.col,7,7
g1217.col,8,8
g1218.col,8,8
g1219.col,5,5
g1220.col,5,5
g1221.col,5,5
g1222.col,5,5
g1223.col,5,5
g1224.col,5,5
g1225.col,5,5
g1226.col,5,5
g1227.col,5,5
g1228.col,5,5
g1229.col,5,5
g1230.col,5,5
g1231.col,5,5
g1232.col,5,5
g1233.col,5,5
g1234.col,5,5
g1235.col,5,5
g1236.col,5,5
g1237.col,5,5
g1238.col,5,5
g1239.col,5,5
g1240.col,5,5
g1241.col,5,5
g1242.col,5,5
g1243.col,5,5
g1244.col,5,5
g1245.col,5,5
g1246.col,5,5
g1247.col,5,5
g1248.col,5,5
g1249.col,5,5
g1250.col,5,5
g1251.col,5,5
g1252.col,5,5
g1253.col,5,5
g1254.col,5,5
g1255.col,5,5
g1256.col,5,5
g1257.col,5,5
g1258.col,5,5
g1259.col,5,5
g1260.col,5,5
g1261.col,5,5
g1262.col,5,5
g1263.col,5,5
g1264.col,5,5
g1265.col,5,5
g1266.col,5,5
g1267.col,5,5
g1268.col,5,5
g1269.col,4,4
g1270.col,3,3
g1271.col,4,4
g1272.col,3,3
g1273.col,4,4
g1274.col,4,4
g1275.col,4,4
g1276.col,4,4
g1277.col,4,4
g1278.col,4,4
g1279.col,3,3
g1280.col,4,4
g1281.col,4,4
g1282.col,4,4
g1283.col,3,3
g1284.col,4,4
g1285.col,4,4
g1286.col,4,4
g1287.col,4,4
g1288.col,4,4
g1289.col,4,4
g1290.col,4,4
g1291.col,4,4
g1292.col,4,4
g1293.col,4,4
g1294.col,4,4
g1295.col,4,4
g1296.col,4,4
g1297.col,4,4
g1298.col,4,4
g1299.col,4,4
g1300.col,4,4
g1301.col,4,4
g1302.col,4,4
g1303.col,4,4
g1304.col,4,4
g1305.col,4,4
g1306.col,4,4
g1307.col,4,4
g1308.col,4,4
g1309.col,4,4
g1310.col,4,4
g1311.col,4,4
g1312.col,4,4
