instance,n,m,lit_lb,lit_ub,held_lb,held_ub,held_time,lb,ub,time
fpsol2.i.2,451,8691,30,30,30,30,1,30,30,0.21
fpsol2.i.3,425,8688,30,30,30,30,1,30,30,0.25
games120,120,638,9,9,9,9,0.02,9,9,92.74
homer,561,1628,13,13,13,13,1,10,13,Timeout
huck,74,301,11,11,11,11,0.01,11,11,0.23
inithx.i.1,864,"18,707",54,54,54,54,3.46,54,54,3.17
inithx.i.2,645,"13,979",31,31,31,31,1,31,31,121.09
inithx.i.3,621,"13,969",31,31,31,31,1,31,31,163.7
jean,80,254,10,10,10,10,0.01,10,10,0.01
latin_square_10,900,"307,350",90,97,_,129,Timeout,90,130,Timeout
le450_15a,450,8168,15,15,-,17,Timeout,15,18,Timeout
le450_15b,450,8169,15,15,-,17,Timeout,15,17,Timeout
le450_15c,450,"16,680",15,15,-,24,Timeout,15,25,Timeout
le450_15d,450,"16,750",15,15,-,24,Timeout,15,25,Timeout
le450_25a,450,8260,25,25,25,25,3.05,25,25,0.17
le450_25b,450,8263,25,25,25,25,2.46,25,25,0.14
le450_25c,450,"17,343",25,25,-,28,Timeout,25,29,Timeout
le450_25d,450,"17,425",25,25,-,29,Timeout,25,28,Timeout
le450_5a,450,5714,5,5,-,10,Timeout,5,10,Timeout
le450_5b,450,5734,5,5,-,7,Timeout,5,9,Timeout
le450_5c,450,9803,5,5,-,11,Timeout,5,8,Timeout
le450_5d,450,9757,5,5,-,11,Timeout,5,5,0.03
miles1000,128,3216,42,42,42,42,1,42,42,1.87
miles1500,128,5198,73,73,73,73,0.41,73,73,1.1
miles250,128,387,8,8,8,8,0.02,8,8,0.01
miles500,128,1170,20,20,20,20,0.04,20,20,0.04
miles750,128,2113,31,31,31,31,0.16,31,31,0.12
mug100_1,100,166,4,4,4,4,6,3,4,Timeout
mug100_25,100,166,4,4,4,4,4.19,3,4,Timeout
mug88_1,88,146,4,4,4,4,3,3,4,Timeout
mug88_25,88,146,4,4,4,4,3.33,3,4,Timeout
mulsol.i.1,197,3925,49,49,49,49,0.3,49,49,0.4
mulsol.i.2,188,3885,31,31,31,31,1,31,31,0.19
mulsol.i.3,184,3916,31,31,31,31,0.08,31,31,0.19
mulsol.i.4,185,3946,31,31,31,31,0.11,31,31,0.19
mulsol.i.5,186,3973,31,31,31,31,0.16,31,31,0.19
myciel3,11,20,4,4,4,4,0.02,4,4,0.04
myciel4,23,71,5,5,5,5,12,5,5,7.03
myciel5,47,236,6,6,4,6,Timeout,5,6,Timeout
myciel6,95,755,7,7,4,7,Timeout,4,7,Timeout
myciel7,191,2360,8,8,5,8,Timeout,4,8,Timeout
qg.order100,"10,000","990,000",100,100,-,106,Timeout,100,116,Timeout
qg.order30,900,"26,100",30,30,-,32,Timeout,30,32,Timeout
qg.order40,"1,600","62,400",40,40,-,42,Timeout,40,45,Timeout
qg.order60,"3,600","212,400",60,60,-,63,Timeout,60,64,Timeout
queen10_10,100,2940,11,11,11,11,781,10,14,Timeout
queen11_11,121,3960,11,11,11,12,Timeout,10,15,Timeout
queen12_12,144,5192,12,12,12,13,Timeout,10,16,Timeout
queen13_13,169,6656,13,13,13,15,Timeout,10,17,Timeout
queen14_14,196,4186,14,14,14,16,Timeout,10,19,Timeout
queen15_15,225,5180,15,15,15,17,Timeout,10,21,Timeout
queen16_16,256,"12,640",16,17,-,21,Timeout,10,22,Timeout
queen5_5,25,160,5,5,5,5,0,5,5,0.01
queen6_6,36,290,7,7,7,7,1,7,7,2.35
queen7_7,49,476,7,7,7,7,1.13,7,7,2.77
queen8_12,96,1368,12,12,12,12,18.35,9,12,Timeout
queen8_8,64,728,9,9,9,9,10.19,9,9,310.31
queen9_9,81,1056,10,10,10,10,24,10,12,Timeout
r1000.1,"1,000","14,378",20,20,20,20,2.43,20,20,0.2
r1000.1c,"1,000","485,090",96,98,-,107,Timeout,82,110,Timeout
r1000.5,"1,000","238,267",234,234,-,248,Timeout,213,246,Timeout
r125.1,125,209,5,5,5,5,0.01,5,5,0.02
r125.1c,125,7501,46,46,46,46,1,46,46,2.08
r125.5,125,3838,36,36,36,36,34.55,36,36,212.9
r250.1,250,867,8,8,8,8,0.05,8,8,7.32
r250.1c,250,"30,227",64,64,64,64,103,64,64,31.19
r250.5,250,"14,849",65,65,65,65,592,65,67,Timeout
school1,385,"19,095",14,14,14,14,3065,14,14,1.67
school1_nsh,352,"14,612",14,14,14,14,2463,14,14,15.59
wap01a,2368,"110,871",41,43,-,47,Timeout,40,46,Timeout
wap02a,2464,"111,742",40,42,-,46,Timeout,40,45,Timeout
wap03a,4730,"286,722",40,47,-,57,Timeout,40,53,Timeout
wap04a,5231,"294,902",40,42,-,46,Timeout,40,48,Timeout
wap05a,905,"43,081",50,50,50,50,11.41,50,50,15.8
wap06a,947,"43,571",40,40,-,44,Timeout,40,43,Timeout
wap07a,1809,"103,368",40,41,-,47,Timeout,38,46,Timeout
wap08a,1870,"104,176",40,42,-,44,Timeout,39,45,Timeout
will199GPIA,701,"6,772",7,7,7,7,15.03,6,7,Timeout
zeroin.i.1,211,"4,100",49,49,49,49,0.17,49,49,0.32
zeroin.i.2,211,"3,541",30,30,30,30,0.09,30,30,0.17
zeroin.i.3,206,"3,540",30,30,30,30,0.1,30,30,0.2
