instance,nodes,edges,density,min_deg,max_deg,components,components_complement,source,algebraic_connectivity,energy,matilda_maxis,matilda_dsatur,lb,ub
5-FullIns_4,1085.0,11395.0,0.019377,6.0,160.0,1.0,1.0,dimacs,,,,,9,9
6hexagon_tess,19.0,42.0,0.245614,3.0,6.0,1.0,1.0,dimacs,,,,,3,3
7partite2,14.0,84.0,0.923077,12.0,12.0,1.0,7.0,dimacs,,,,,7,7
abb313GPIA,1557.0,53356.0,0.044047,0.0,151.0,3.0,1.0,dimacs,,,,,9,9
anna,138.0,493.0,0.052153,1.0,71.0,1.0,1.0,dimacs,,,,,11,11
ash331GPIA,662.0,4181.0,0.01911,1.0,23.0,1.0,1.0,dimacs,,,,,4,4
ash608GPIA,1216.0,7844.0,0.010618,1.0,20.0,1.0,1.0,dimacs,,,,,4,4
ash958GPIA,1916.0,12506.0,0.006817,1.0,24.0,1.0,1.0,dimacs,,,,,4,4
c2000.5,2000.0,999836.0,0.500168,919.0,1074.0,1.0,1.0,dimacs,,,,,0,0
c4000.5,4000.0,4000268.0,,,,,,,,,,,0,0
david,87.0,406.0,0.108527,1.0,82.0,1.0,1.0,dimacs,,,,,11,11
dodecahedron,20.0,30.0,0.157895,3.0,3.0,1.0,1.0,dimacs,,,,,3,3
DSJC1000.1,1000.0,49629.0,0.099357,68.0,127.0,1.0,1.0,dimacs,,,,,10,20
DSJC1000.5,1000.0,249826.0,0.500152,447.0,551.0,1.0,1.0,dimacs,,,,,73,82
DSJC1000.9,1000.0,449449.0,0.899798,870.0,924.0,1.0,1.0,dimacs,,,,,216,222
DSJC125.1,125.0,736.0,0.094968,5.0,23.0,1.0,1.0,dimacs,,,,,5,5
DSJC125.5,125.0,3891.0,0.502065,51.0,75.0,1.0,1.0,dimacs,,,,,17,17
DSJC125.9,125.0,6961.0,0.898194,103.0,120.0,1.0,1.0,dimacs,,,,,44,44
DSJC250.1,250.0,3218.0,0.10339,13.0,38.0,1.0,1.0,dimacs,,,,,7,8
DSJC250.5,250.0,15668.0,0.50339,101.0,147.0,1.0,1.0,dimacs,,,,,26,28
DSJC250.9,250.0,27897.0,0.896289,207.0,234.0,1.0,1.0,dimacs,,,,,72,72
DSJC500.1,500.0,12458.0,0.099864,34.0,68.0,1.0,1.0,dimacs,,,,,9,12
DSJC500.5,500.0,62624.0,0.501996,220.0,286.0,1.0,1.0,dimacs,,,,,43,47
DSJC500.9,1000.0,238267.0,0.477011,193.0,781.0,1.0,1.0,dimacs,,,,,123,126
DSJR500.1,500.0,3555.0,0.028497,4.0,25.0,1.0,1.0,dimacs,,,,,12,12
DSJR500.1c,500.0,121275.0,0.972144,473.0,497.0,1.0,1.0,dimacs,,,,,85,85
DSJR500.5,500.0,58862.0,0.47184,103.0,388.0,1.0,1.0,dimacs,,,,,122,122
flat1000_50_0,1000.0,245000.0,0.49049,459.0,520.0,1.0,1.0,dimacs,,,,,50,50
flat1000_60_0,1000.0,245830.0,0.492152,457.0,524.0,1.0,1.0,dimacs,,,,,60,60
flat1000_76_0,1000.0,246708.0,0.49391,455.0,532.0,1.0,1.0,dimacs,,,,,72,81
flat300_20_0,300.0,21375.0,0.476589,127.0,160.0,1.0,1.0,dimacs,,,,,20,20
flat300_26_0,300.0,21633.0,0.482341,123.0,158.0,1.0,1.0,dimacs,,,,,26,26
flat300_28_0,300.0,21695.0,0.483724,130.0,162.0,1.0,1.0,dimacs,,,,,28,28
fpsol2.i.1,496.0,11654.0,0.094933,0.0,252.0,228.0,1.0,dimacs,,,,,65,65
fpsol2.i.2,451.0,8691.0,0.085647,0.0,346.0,89.0,1.0,dimacs,,,,,30,30
fpsol2.i.3,425.0,8688.0,0.096426,0.0,346.0,63.0,1.0,dimacs,,,,,30,30
g0001.col,100.0,1902.0,0.384242,25.0,48.0,1.0,1.0,matilda,23.5994,4.44023,13.0,14.0,0,0
g0002.col,100.0,2908.0,0.587475,45.0,72.0,1.0,1.0,matilda,25.4225,4.05422,25.0,26.0,24,24
g0003.col,100.0,2354.0,0.475556,13.0,69.0,1.0,1.0,matilda,11.9956,4.11133,17.0,17.0,13,13
g0004.col,100.0,3096.0,0.625455,37.0,98.0,1.0,1.0,matilda,25.6033,3.28261,38.0,37.0,36,36
g0005.col,100.0,3046.0,0.615354,36.0,79.0,1.0,1.0,matilda,20.985,3.54308,33.0,33.0,33,33
g0006.col,100.0,2402.0,0.485253,30.0,77.0,1.0,1.0,matilda,25.819,2.86208,8.0,6.0,6,6
g0007.col,100.0,3285.0,0.663636,38.0,94.0,1.0,1.0,matilda,28.9112,3.5343,38.0,38.0,36,36
g0008.col,100.0,3174.0,0.641212,42.0,91.0,1.0,1.0,matilda,29.272,3.6213,33.0,32.0,29,29
g0009.col,100.0,4283.0,0.865253,64.0,96.0,1.0,1.0,matilda,62.6774,3.42765,41.0,38.0,37,37
g0010.col,100.0,3691.0,0.745657,32.0,91.0,1.0,1.0,matilda,29.109,3.58923,36.0,37.0,34,34
g0011.col,100.0,2630.0,0.531313,33.0,77.0,1.0,1.0,matilda,30.8004,3.46101,10.0,8.0,7,7
g0012.col,100.0,2909.0,0.587677,32.0,82.0,1.0,1.0,matilda,26.075,3.50771,26.0,28.0,23,23
g0013.col,100.0,3444.0,0.695758,38.0,94.0,1.0,1.0,matilda,31.1749,3.56624,37.0,36.0,35,35
g0014.col,100.0,3375.0,0.681818,24.0,95.0,1.0,1.0,matilda,23.5929,3.38068,37.0,37.0,33,33
g0015.col,100.0,3551.0,0.717374,50.0,91.0,1.0,1.0,matilda,49.5004,3.50389,13.0,12.0,12,12
g0016.col,100.0,3030.0,0.612121,37.0,81.0,1.0,1.0,matilda,36.3406,3.38363,12.0,10.0,9,9
g0017.col,100.0,3260.0,0.658586,43.0,83.0,1.0,1.0,matilda,42.336,3.33996,13.0,10.0,10,10
g0018.col,100.0,2362.0,0.477172,28.0,84.0,1.0,1.0,matilda,26.2602,3.30749,13.0,9.0,9,9
g0019.col,100.0,2656.0,0.536566,32.0,84.0,1.0,1.0,matilda,30.0501,3.53296,13.0,12.0,10,10
g0020.col,100.0,3148.0,0.63596,35.0,88.0,1.0,1.0,matilda,34.7927,3.40698,16.0,13.0,11,11
g0021.col,100.0,3071.0,0.620404,33.0,84.0,1.0,1.0,matilda,32.5812,3.40602,11.0,9.0,9,9
g0022.col,100.0,2937.0,0.593333,34.0,92.0,1.0,1.0,matilda,33.7341,3.31387,13.0,12.0,12,12
g0023.col,100.0,2691.0,0.543636,28.0,86.0,1.0,1.0,matilda,27.8613,3.05649,12.0,9.0,8,8
g0024.col,100.0,2939.0,0.593737,37.0,86.0,1.0,1.0,matilda,35.7856,3.31589,12.0,10.0,10,10
g0025.col,100.0,2824.0,0.570505,32.0,88.0,1.0,1.0,matilda,31.0578,3.21989,13.0,10.0,10,10
g0026.col,100.0,2813.0,0.568283,33.0,94.0,1.0,1.0,matilda,32.3162,3.05525,14.0,10.0,10,10
g0027.col,100.0,2826.0,0.570909,34.0,92.0,1.0,1.0,matilda,33.8677,2.92738,14.0,11.0,10,10
g0028.col,100.0,2882.0,0.582222,35.0,90.0,1.0,1.0,matilda,34.7762,2.90601,11.0,10.0,10,10
g0029.col,100.0,2787.0,0.56303,30.0,93.0,1.0,1.0,matilda,29.9249,2.79042,13.0,10.0,10,10
g0030.col,100.0,2747.0,0.554949,31.0,88.0,1.0,1.0,matilda,30.754,2.8156,12.0,9.0,9,9
g0031.col,100.0,2845.0,0.574747,33.0,90.0,1.0,1.0,matilda,32.9081,2.79,12.0,10.0,10,10
g0032.col,100.0,2898.0,0.585455,35.0,93.0,1.0,1.0,matilda,34.3652,2.83444,12.0,10.0,10,10
g0033.col,100.0,2849.0,0.575556,34.0,90.0,1.0,1.0,matilda,33.6343,2.76683,11.0,10.0,10,10
g0034.col,100.0,2918.0,0.589495,35.0,93.0,1.0,1.0,matilda,34.9253,2.73492,12.0,10.0,10,10
g0035.col,100.0,2912.0,0.588283,32.0,94.0,1.0,1.0,matilda,31.8413,2.71571,13.0,10.0,10,10
g0036.col,100.0,2851.0,0.57596,32.0,91.0,1.0,1.0,matilda,31.8257,2.65592,14.0,10.0,10,10
g0037.col,100.0,2976.0,0.601212,35.0,92.0,1.0,1.0,matilda,34.8082,2.45444,14.0,10.0,10,10
g0038.col,100.0,2997.0,0.605455,34.0,94.0,1.0,1.0,matilda,33.8684,2.42338,12.0,10.0,10,10
g0039.col,100.0,3001.0,0.606263,34.0,94.0,1.0,1.0,matilda,33.8666,2.42162,12.0,10.0,10,10
g0040.col,100.0,2966.0,0.599192,35.0,94.0,1.0,1.0,matilda,34.8387,2.41231,11.0,9.0,9,9
g0041.col,100.0,2996.0,0.605253,35.0,94.0,1.0,1.0,matilda,34.8304,2.38307,12.0,10.0,10,10
g0042.col,100.0,2920.0,0.589899,35.0,92.0,1.0,1.0,matilda,34.8338,2.41652,11.0,10.0,9,9
g0043.col,100.0,2975.0,0.60101,34.0,94.0,1.0,1.0,matilda,33.8581,2.42949,10.0,10.0,10,10
g0044.col,100.0,2921.0,0.590101,35.0,92.0,1.0,1.0,matilda,34.8385,2.41165,12.0,9.0,9,9
g0045.col,100.0,2917.0,0.589293,36.0,91.0,1.0,1.0,matilda,35.7648,2.40433,12.0,10.0,10,10
g0046.col,100.0,2978.0,0.601616,34.0,94.0,1.0,1.0,matilda,33.8415,2.39074,10.0,9.0,9,9
g0047.col,100.0,2179.0,0.440202,32.0,56.0,1.0,1.0,matilda,17.139,4.19779,17.0,18.0,15,15
g0048.col,100.0,1897.0,0.383232,1.0,56.0,1.0,1.0,matilda,0.9819,2.51005,6.0,5.0,5,5
g0049.col,100.0,3031.0,0.612323,14.0,95.0,1.0,1.0,matilda,6.9539,2.95254,32.0,31.0,30,30
g0050.col,100.0,2313.0,0.467273,22.0,92.0,1.0,1.0,matilda,21.9252,2.92224,12.0,9.0,9,9
g0051.col,100.0,3200.0,0.646465,38.0,92.0,1.0,1.0,matilda,37.7982,3.06292,13.0,10.0,10,10
g0052.col,100.0,3551.0,0.717374,26.0,91.0,1.0,1.0,matilda,25.9258,3.79434,29.0,31.0,27,27
g0053.col,100.0,2357.0,0.476162,5.0,76.0,1.0,1.0,matilda,4.9459,2.91917,10.0,9.0,8,8
g0054.col,100.0,3697.0,0.746869,53.0,88.0,1.0,1.0,matilda,51.6871,3.86584,24.0,23.0,20,20
g0055.col,100.0,3044.0,0.614949,39.0,91.0,1.0,1.0,matilda,38.8915,2.83703,12.0,10.0,10,10
g0056.col,100.0,2443.0,0.493535,36.0,63.0,1.0,1.0,matilda,34.2525,4.64829,17.0,19.0,14,15
g0057.col,100.0,898.0,0.181414,9.0,29.0,1.0,1.0,matilda,7.5805,3.39081,7.0,8.0,6,7
g0058.col,100.0,2198.0,0.44404,33.0,58.0,1.0,1.0,matilda,16.1421,4.12179,17.0,18.0,15,15
g0059.col,100.0,3526.0,0.712323,35.0,94.0,1.0,1.0,matilda,34.0344,4.26129,28.0,27.0,23,23
g0060.col,100.0,3388.0,0.684444,38.0,89.0,1.0,1.0,matilda,36.5031,4.05876,34.0,33.0,33,33
g0061.col,100.0,1848.0,0.373333,7.0,76.0,1.0,1.0,matilda,5.9041,3.38705,12.0,8.0,7,7
g0062.col,100.0,4128.0,0.833939,54.0,94.0,1.0,1.0,matilda,53.628,3.4612,48.0,45.0,44,44
g0063.col,100.0,3257.0,0.65798,32.0,91.0,1.0,1.0,matilda,30.3308,4.00896,34.0,31.0,29,29
g0064.col,100.0,3844.0,0.776566,65.0,90.0,1.0,1.0,matilda,59.1902,4.01374,35.0,37.0,31,31
g0065.col,100.0,3895.0,0.786869,53.0,94.0,1.0,1.0,matilda,50.5624,3.80807,35.0,36.0,34,34
g0066.col,100.0,3910.0,0.789899,52.0,92.0,1.0,1.0,matilda,48.18,3.74245,37.0,39.0,35,35
g0067.col,100.0,3932.0,0.794343,50.0,96.0,1.0,1.0,matilda,47.2801,3.73798,40.0,39.0,36,36
g0068.col,100.0,4226.0,0.853737,62.0,99.0,1.0,3.0,matilda,60.3236,3.4017,46.0,44.0,42,42
g0069.col,100.0,3398.0,0.686465,44.0,91.0,1.0,1.0,matilda,41.5722,3.9749,35.0,35.0,34,34
g0070.col,100.0,3957.0,0.799394,49.0,94.0,1.0,1.0,matilda,48.6014,3.78366,37.0,36.0,33,33
g0071.col,100.0,3995.0,0.807071,48.0,96.0,1.0,1.0,matilda,46.547,3.43914,43.0,41.0,40,40
g0072.col,100.0,4160.0,0.840404,58.0,98.0,1.0,1.0,matilda,55.8035,3.52547,39.0,40.0,36,36
g0073.col,100.0,3995.0,0.807071,61.0,97.0,1.0,1.0,matilda,53.9479,3.51988,42.0,41.0,40,40
g0074.col,100.0,3944.0,0.796768,44.0,97.0,1.0,1.0,matilda,41.3953,3.42655,42.0,41.0,38,38
g0075.col,100.0,3517.0,0.710505,40.0,91.0,1.0,1.0,matilda,35.5617,3.64119,31.0,31.0,30,30
g0076.col,100.0,3900.0,0.787879,47.0,96.0,1.0,1.0,matilda,45.2637,3.63292,40.0,38.0,37,37
g0077.col,100.0,4019.0,0.811919,50.0,99.0,1.0,4.0,matilda,48.3499,3.38868,43.0,41.0,40,40
g0078.col,100.0,3786.0,0.764848,45.0,93.0,1.0,1.0,matilda,42.8736,3.6105,40.0,39.0,38,38
g0079.col,100.0,3841.0,0.77596,55.0,95.0,1.0,1.0,matilda,45.6619,3.60454,36.0,37.0,34,34
g0080.col,100.0,3723.0,0.752121,49.0,95.0,1.0,1.0,matilda,41.0295,3.55656,37.0,36.0,32,32
g0081.col,100.0,4010.0,0.810101,43.0,98.0,1.0,1.0,matilda,41.1978,3.40905,42.0,46.0,40,40
g0082.col,100.0,4078.0,0.823838,46.0,97.0,1.0,1.0,matilda,43.9315,3.31331,42.0,43.0,40,40
g0083.col,100.0,3884.0,0.784646,42.0,97.0,1.0,1.0,matilda,39.4269,3.41886,44.0,43.0,43,43
g0084.col,100.0,3681.0,0.743636,45.0,95.0,1.0,1.0,matilda,36.5505,3.44669,41.0,39.0,38,38
g0085.col,100.0,3905.0,0.788889,45.0,97.0,1.0,1.0,matilda,41.4633,3.34623,41.0,41.0,39,39
g0086.col,100.0,4007.0,0.809495,49.0,98.0,1.0,1.0,matilda,41.5249,3.2745,44.0,42.0,42,42
g0087.col,100.0,3974.0,0.802828,44.0,99.0,1.0,2.0,matilda,42.0766,3.39038,42.0,42.0,39,39
g0088.col,100.0,3936.0,0.795152,40.0,94.0,1.0,1.0,matilda,38.62,3.28468,45.0,43.0,42,42
g0089.col,100.0,3967.0,0.801414,43.0,98.0,1.0,1.0,matilda,40.0411,3.29657,44.0,43.0,40,40
g0090.col,100.0,4058.0,0.819798,48.0,96.0,1.0,1.0,matilda,40.1178,3.26862,43.0,44.0,41,41
g0091.col,100.0,3921.0,0.792121,40.0,95.0,1.0,1.0,matilda,37.8641,3.3671,46.0,43.0,41,41
g0092.col,100.0,1777.0,0.35899,24.0,49.0,1.0,1.0,matilda,22.264,4.34542,12.0,14.0,11,11
g0093.col,100.0,249.0,0.050303,1.0,71.0,1.0,1.0,matilda,0.9173,1.0936,100.0,3.0,3,3
g0094.col,100.0,3872.0,0.782222,64.0,88.0,1.0,1.0,matilda,58.8882,4.13783,31.0,34.0,27,27
g0095.col,100.0,2008.0,0.405657,19.0,72.0,1.0,1.0,matilda,18.5328,3.28955,8.0,6.0,6,6
g0096.col,100.0,3256.0,0.657778,37.0,84.0,1.0,1.0,matilda,32.9714,4.17736,26.0,25.0,22,22
g0097.col,100.0,2282.0,0.46101,27.0,67.0,1.0,1.0,matilda,26.2713,4.13689,11.0,10.0,8,8
g0098.col,100.0,3761.0,0.759798,22.0,94.0,1.0,1.0,matilda,21.3592,3.80917,34.0,36.0,31,31
g0099.col,100.0,2904.0,0.586667,34.0,74.0,1.0,1.0,matilda,33.5451,3.91252,11.0,11.0,10,10
g0100.col,100.0,1818.0,0.367273,10.0,73.0,1.0,1.0,matilda,9.7798,3.38103,13.0,9.0,8,8
g0101.col,100.0,3523.0,0.711717,38.0,90.0,1.0,1.0,matilda,37.6645,4.06799,30.0,29.0,26,26
g0102.col,100.0,3219.0,0.650303,29.0,84.0,1.0,1.0,matilda,28.2093,4.04401,28.0,25.0,23,23
g0103.col,100.0,3528.0,0.712727,34.0,89.0,1.0,1.0,matilda,33.6828,4.00227,30.0,29.0,28,28
g0104.col,100.0,2167.0,0.437778,17.0,69.0,1.0,1.0,matilda,16.743,3.83928,14.0,11.0,10,10
g0105.col,100.0,1969.0,0.397778,15.0,67.0,1.0,1.0,matilda,14.5918,3.72868,13.0,11.0,9,9
g0106.col,100.0,2678.0,0.54101,28.0,82.0,1.0,1.0,matilda,20.8226,3.82959,24.0,23.0,22,22
g0107.col,100.0,3216.0,0.649697,39.0,83.0,1.0,1.0,matilda,38.5796,4.02601,18.0,16.0,14,14
g0108.col,100.0,3496.0,0.706263,40.0,84.0,1.0,1.0,matilda,39.3964,4.08452,27.0,29.0,23,23
g0109.col,100.0,3070.0,0.620202,43.0,91.0,1.0,1.0,matilda,37.966,4.16244,25.0,23.0,21,21
g0110.col,100.0,3449.0,0.696768,37.0,89.0,1.0,1.0,matilda,36.1528,4.14068,28.0,29.0,24,24
g0111.col,100.0,3673.0,0.74202,49.0,90.0,1.0,1.0,matilda,47.7255,4.09903,29.0,30.0,26,26
g0112.col,100.0,3343.0,0.675354,49.0,91.0,1.0,1.0,matilda,38.8492,4.0302,28.0,27.0,24,24
g0113.col,100.0,2957.0,0.597374,36.0,83.0,1.0,1.0,matilda,35.0905,4.07956,18.0,16.0,14,14
g0114.col,100.0,3006.0,0.607273,42.0,85.0,1.0,1.0,matilda,38.4818,4.0609,19.0,17.0,14,14
g0115.col,100.0,3425.0,0.691919,39.0,93.0,1.0,1.0,matilda,37.4639,4.02726,30.0,28.0,25,25
g0116.col,100.0,3305.0,0.667677,46.0,86.0,1.0,1.0,matilda,44.4331,4.13046,20.0,19.0,17,17
g0117.col,100.0,3440.0,0.694949,32.0,88.0,1.0,1.0,matilda,31.7167,4.12045,24.0,25.0,23,23
g0118.col,100.0,2430.0,0.490909,23.0,80.0,1.0,1.0,matilda,22.5502,3.9492,16.0,14.0,14,14
g0119.col,100.0,2228.0,0.450101,19.0,85.0,1.0,1.0,matilda,18.7605,3.74295,18.0,14.0,13,13
g0120.col,100.0,2560.0,0.517172,24.0,79.0,1.0,1.0,matilda,23.6197,3.95754,16.0,14.0,12,12
g0121.col,100.0,3397.0,0.686263,49.0,86.0,1.0,1.0,matilda,41.527,4.0666,27.0,26.0,23,23
g0122.col,100.0,3292.0,0.665051,47.0,82.0,1.0,1.0,matilda,43.7441,4.12989,25.0,24.0,22,22
g0123.col,100.0,3339.0,0.674545,42.0,89.0,1.0,1.0,matilda,39.8677,4.12474,27.0,26.0,23,23
g0124.col,100.0,3431.0,0.693131,44.0,86.0,1.0,1.0,matilda,42.1914,4.07111,25.0,27.0,23,23
g0125.col,100.0,3308.0,0.668283,44.0,91.0,1.0,1.0,matilda,41.4537,4.16401,25.0,26.0,22,22
g0126.col,100.0,3293.0,0.665253,44.0,93.0,1.0,1.0,matilda,39.9053,4.07661,26.0,25.0,23,23
g0127.col,100.0,3192.0,0.644848,39.0,86.0,1.0,1.0,matilda,38.3261,4.02232,21.0,21.0,18,18
g0128.col,100.0,3311.0,0.668889,44.0,94.0,1.0,1.0,matilda,41.5574,3.94888,21.0,21.0,19,19
g0129.col,100.0,3278.0,0.662222,37.0,92.0,1.0,1.0,matilda,36.6252,3.88596,23.0,21.0,18,18
g0130.col,100.0,3366.0,0.68,42.0,94.0,1.0,1.0,matilda,41.0627,3.91443,21.0,21.0,18,18
g0131.col,100.0,3296.0,0.665859,39.0,93.0,1.0,1.0,matilda,38.3879,3.90096,20.0,19.0,17,17
g0132.col,100.0,3436.0,0.694141,39.0,96.0,1.0,1.0,matilda,38.5906,3.83603,25.0,22.0,21,21
g0133.col,100.0,921.0,0.186061,10.0,28.0,1.0,1.0,matilda,9.1125,3.42593,8.0,8.0,7,7
g0134.col,100.0,1695.0,0.342424,25.0,49.0,1.0,1.0,matilda,21.5701,4.28893,12.0,13.0,10,11
g0135.col,100.0,1655.0,0.334343,12.0,46.0,1.0,1.0,matilda,11.0113,3.91983,14.0,15.0,12,12
g0136.col,100.0,577.0,0.116566,4.0,25.0,1.0,1.0,matilda,2.3062,2.70655,7.0,7.0,6,6
g0137.col,100.0,1829.0,0.369495,7.0,83.0,1.0,1.0,matilda,5.6532,3.10603,22.0,22.0,22,22
g0138.col,100.0,1837.0,0.371111,18.0,67.0,1.0,1.0,matilda,12.6789,3.81676,17.0,16.0,16,16
g0139.col,100.0,2294.0,0.463434,20.0,78.0,1.0,1.0,matilda,13.3271,3.40829,31.0,31.0,28,28
g0140.col,100.0,1490.0,0.30101,7.0,60.0,1.0,1.0,matilda,6.7049,3.46047,11.0,10.0,8,8
g0141.col,100.0,2429.0,0.490707,17.0,67.0,1.0,1.0,matilda,15.3907,3.52866,30.0,30.0,30,30
g0142.col,100.0,1354.0,0.273535,8.0,63.0,1.0,1.0,matilda,7.6521,2.89044,8.0,7.0,7,7
g0143.col,100.0,2550.0,0.515152,18.0,74.0,1.0,1.0,matilda,16.0657,3.59136,29.0,28.0,26,26
g0144.col,100.0,1850.0,0.373737,13.0,55.0,1.0,1.0,matilda,12.4692,3.74296,12.0,12.0,0,0
g0145.col,100.0,2404.0,0.485657,25.0,71.0,1.0,1.0,matilda,13.5588,3.20779,35.0,37.0,35,35
g0146.col,100.0,2328.0,0.470303,17.0,79.0,1.0,1.0,matilda,14.9717,3.3992,28.0,26.0,26,26
g0147.col,100.0,2228.0,0.450101,15.0,72.0,1.0,1.0,matilda,12.4763,3.34069,24.0,24.0,22,22
g0148.col,100.0,2073.0,0.418788,18.0,62.0,1.0,1.0,matilda,10.3152,3.3039,23.0,23.0,23,23
g0149.col,100.0,2062.0,0.416566,20.0,72.0,1.0,1.0,matilda,15.3752,3.46329,21.0,23.0,19,19
g0150.col,100.0,1916.0,0.387071,15.0,60.0,1.0,1.0,matilda,12.2378,3.18172,9.0,8.0,8,8
g0151.col,100.0,1914.0,0.386667,17.0,59.0,1.0,1.0,matilda,15.2688,3.16945,9.0,8.0,7,7
g0152.col,100.0,1761.0,0.355758,13.0,64.0,1.0,1.0,matilda,11.3825,3.05437,10.0,8.0,8,8
g0153.col,100.0,2046.0,0.413333,21.0,66.0,1.0,1.0,matilda,15.0404,3.16212,10.0,8.0,8,8
g0154.col,100.0,1686.0,0.340606,16.0,62.0,1.0,1.0,matilda,12.4664,3.03708,11.0,7.0,7,7
g0155.col,100.0,1824.0,0.368485,17.0,73.0,1.0,1.0,matilda,12.9536,3.03688,11.0,8.0,8,8
g0156.col,100.0,2033.0,0.410707,20.0,68.0,1.0,1.0,matilda,16.7257,3.19277,10.0,10.0,8,8
g0157.col,100.0,1839.0,0.371515,21.0,60.0,1.0,1.0,matilda,13.5416,2.81262,9.0,9.0,8,8
g0158.col,100.0,1989.0,0.401818,22.0,68.0,1.0,1.0,matilda,15.8533,2.78495,9.0,8.0,7,7
g0159.col,100.0,1964.0,0.396768,22.0,63.0,1.0,1.0,matilda,15.5999,2.77472,10.0,8.0,7,7
g0160.col,100.0,2024.0,0.408889,21.0,63.0,1.0,1.0,matilda,16.2849,2.76287,9.0,7.0,7,7
g0161.col,100.0,1994.0,0.402828,21.0,62.0,1.0,1.0,matilda,15.9141,2.76834,12.0,8.0,7,7
g0162.col,100.0,2015.0,0.407071,21.0,61.0,1.0,1.0,matilda,15.9931,2.74717,9.0,7.0,7,7
g0163.col,100.0,2024.0,0.408889,21.0,65.0,1.0,1.0,matilda,15.6844,2.72985,10.0,9.0,7,7
g0164.col,100.0,1986.0,0.401212,21.0,61.0,1.0,1.0,matilda,15.9095,2.74369,9.0,7.0,7,7
g0165.col,100.0,2008.0,0.405657,22.0,65.0,1.0,1.0,matilda,16.2641,2.77383,9.0,8.0,7,7
g0166.col,100.0,1962.0,0.396364,21.0,62.0,1.0,1.0,matilda,15.4292,2.68401,10.0,8.0,7,7
g0167.col,100.0,2034.0,0.410909,22.0,64.0,1.0,1.0,matilda,15.6528,2.72079,11.0,8.0,8,8
